"match_offset","group_type","avg_points"
-10,Manager kept,0.43333333333333333333
-9,Manager kept,0.66666666666666666667
-8,Manager kept,0.54285714285714285714
-7,Manager kept,0.40540540540540540541
-6,Manager kept,0.79487179487179487179
-5,Manager kept,0.53012048192771084337
-4,Manager kept,0.44086021505376344086
-3,Manager kept,0.66000000000000000000
-2,Manager kept,0.79047619047619047619
-1,Manager kept,0.77777777777777777778
0,Manager kept,1.0555555555555556
1,Manager kept,0.84259259259259259259
2,Manager kept,1.3084112149532710
3,Manager kept,1.1320754716981132
4,Manager kept,1.2647058823529412
5,Manager kept,1.2574257425742574
6,Manager kept,0.89795918367346938776
7,Manager kept,1.1052631578947368
8,Manager kept,1.4111111111111111
9,Manager kept,1.1590909090909091
10,Manager kept,1.2758620689655172
-10,Manager sacked,0.97468354430379746835
-9,Manager sacked,0.94047619047619047619
-8,Manager sacked,0.80459770114942528736
-7,Manager sacked,0.63440860215053763441
-6,Manager sacked,0.61458333333333333333
-5,Manager sacked,0.61000000000000000000
-4,Manager sacked,0.52475247524752475248
-3,Manager sacked,0.76190476190476190476
-2,Manager sacked,0.38888888888888888889
-1,Manager sacked,0.16666666666666666667
0,Manager sacked,1.1574074074074074
1,Manager sacked,1.1111111111111111
2,Manager sacked,1.0555555555555556
3,Manager sacked,1.4579439252336449
4,Manager sacked,1.3173076923076923
5,Manager sacked,1.2574257425742574
6,Manager sacked,1.2105263157894737
7,Manager sacked,1.5326086956521739
8,Manager sacked,1.0459770114942529
9,Manager sacked,1.1097560975609756
10,Manager sacked,1.0246913580246914
