"treated_club_id","treated_season","treated_match_no","treated_ppg_prior","treated_ppg_next","treated_position","control_club_id","control_season","control_match_no","control_ppg_prior","control_ppg_next","control_position","match_dist"
167,2025,13,0.70000000000000000000,1.5000000000000000,14,38,2012,13,0.70000000000000000000,1.3000000000000000,14,0.00000000000000000000
89,2025,30,0.80000000000000000000,1.7500000000000000,11,533,2013,19,0.80000000000000000000,1.6000000000000000,11,0.00000000000000000000
82,2012,9,0.62500000000000000000,1.4000000000000000,16,167,2012,19,0.60000000000000000000,1.4000000000000000,16,0.02500000000000000000
533,2012,16,0.60000000000000000000,0.80000000000000000000,16,167,2012,19,0.60000000000000000000,1.4000000000000000,16,0.00000000000000000000
65,2012,26,0.60000000000000000000,0.75000000000000000000,18,167,2012,13,0.60000000000000000000,1.1000000000000000,18,0.00000000000000000000
41,2013,7,0.66666666666666666667,1.1000000000000000,16,167,2015,7,0.66666666666666666667,1.5000000000000000,16,0.00000000000000000000
4,2013,9,0.62500000000000000000,1.1000000000000000,16,167,2012,19,0.60000000000000000000,1.4000000000000000,16,0.02500000000000000000
4,2013,10,0.66666666666666666667,1.00000000000000000000,16,167,2015,7,0.66666666666666666667,1.5000000000000000,16,0.00000000000000000000
42,2013,18,0.60000000000000000000,0.80000000000000000000,10,44,2013,31,0.60000000000000000000,1.00000000000000000000,10,0.00000000000000000000
79,2013,25,0.40000000000000000000,1.2222222222222222,17,60,2013,6,0.40000000000000000000,0.80000000000000000000,17,0.00000000000000000000
4,2013,32,0.60000000000000000000,0.00000000000000000000,17,167,2012,15,0.60000000000000000000,1.3000000000000000,17,0.00000000000000000000
86,2014,10,0.44444444444444444444,1.9000000000000000,18,23,2013,10,0.44444444444444444444,0.80000000000000000000,18,0.00000000000000000000
79,2014,13,0.80000000000000000000,0.70000000000000000000,16,60,2013,12,0.80000000000000000000,1.00000000000000000000,16,0.00000000000000000000
44,2014,20,0.70000000000000000000,1.3000000000000000,14,38,2012,13,0.70000000000000000000,1.3000000000000000,14,0.00000000000000000000
41,2014,27,0.90000000000000000000,1.4285714285714286,16,167,2012,23,0.90000000000000000000,1.2000000000000000,16,0.00000000000000000000
41,2014,29,0.80000000000000000000,2.0000000000000000,18,23,2013,13,0.80000000000000000000,0.80000000000000000000,18,0.00000000000000000000
533,2015,11,0.60000000000000000000,0.80000000000000000000,17,167,2012,15,0.60000000000000000000,1.3000000000000000,17,0.00000000000000000000
79,2015,14,1.00000000000000000000,1.8000000000000000,17,60,2013,22,1.00000000000000000000,1.8000000000000000,17,0.00000000000000000000
533,2015,21,0.80000000000000000000,1.9000000000000000,17,167,2012,21,0.80000000000000000000,1.5000000000000000,17,0.00000000000000000000
24,2015,26,1.00000000000000000000,1.5000000000000000,16,65,2012,5,1.00000000000000000000,0.40000000000000000000,16,0.00000000000000000000
42,2015,29,0.30000000000000000000,1.4000000000000000,18,42,2018,27,0.30000000000000000000,1.00000000000000000000,18,0.00000000000000000000
