"treated_club_id","treated_season","treated_match_no","treated_ppg_prior","treated_ppg_next","treated_position","control_club_id","control_season","control_match_no","control_ppg_prior","control_ppg_next","control_position","match_dist"
10,2021,26,0.80000000000000000000,0.20000000000000000000,15,3,2019,16,0.80000000000000000000,1.8000000000000000,15,0.00000000000000000000
3,2017,15,0.20000000000000000000,2.0000000000000000,18,3,2019,14,0.20000000000000000000,2.4000000000000000,18,0.00000000000000000000
3,2019,12,0.80000000000000000000,2.0000000000000000,17,3,2017,27,0.80000000000000000000,0.40000000000000000000,17,0.00000000000000000000
3,2020,29,0.40000000000000000000,2.0000000000000000,17,3,2023,19,0.40000000000000000000,1.00000000000000000000,17,0.00000000000000000000
3,2023,17,0.80000000000000000000,1.00000000000000000000,17,3,2017,27,0.80000000000000000000,0.40000000000000000000,17,0.00000000000000000000
3,2025,28,0.60000000000000000000,1.00000000000000000000,15,3,2020,9,0.60000000000000000000,1.00000000000000000000,15,0.00000000000000000000
4,2013,9,0.60000000000000000000,0.40000000000000000000,16,10,2020,11,0.60000000000000000000,1.4000000000000000,16,0.00000000000000000000
4,2013,10,0.80000000000000000000,0.40000000000000000000,16,3,2020,16,0.80000000000000000000,1.8000000000000000,16,0.00000000000000000000
4,2013,32,0.60000000000000000000,0.00000000000000000000,17,3,2019,6,0.60000000000000000000,0.80000000000000000000,17,0.00000000000000000000
4,2018,22,0.20000000000000000000,0.60000000000000000000,18,3,2017,7,0.20000000000000000000,0.20000000000000000000,18,0.00000000000000000000
10,2020,23,0.20000000000000000000,1.4000000000000000,16,3,2023,8,0.20000000000000000000,1.00000000000000000000,16,0.00000000000000000000
10,2021,27,0.60000000000000000000,0.40000000000000000000,17,3,2019,6,0.60000000000000000000,0.80000000000000000000,17,0.00000000000000000000
10,2021,31,0.20000000000000000000,0.66666666666666666667,17,3,2019,15,0.20000000000000000000,2.4000000000000000,17,0.00000000000000000000
